"序号
No.","词
Word","拼音
Pinyin","词类
Parts of Speech","词译文
Meaning of the Word","例句
Example","例句拼音
Sentence Pinyin"
365,【饿】,è,adj.,hungry,我～了，想吃点东西。,wǒ è le ， xiǎng chī diǎn dōng xī 。
366,【耳朵】,ěrduo,n.,ear,我的～有点疼，要去医院看看。,wǒ de 耳 朵 yǒu diǎn téng ， yào qù 医 院 kàn kàn 。
367,【发】,fā,v.,send,你给我～电子邮件了吗？,nǐ gěi wǒ fā 电 子 邮 jiàn le ma ？
368,【发烧】,fāshāo,v.,have a fever,我身体不舒服，～了。,wǒ 身 体 bù 舒 服 ， fā 烧 le 。
369,【发现】,fāxiàn,v.,find out; discover,我～他瘦了很多。,wǒ fā 现 tā shòu le hěn duō 。
370,【方便】,fāngbiàn,adj.,convenient,我坐地铁去上班很～。,wǒ zuò de 铁 qù shàng bān hěn 方 便 。
371,【放】,fàng,v.,put; place,把书～在桌子上吧。,bǎ shū fàng zài 桌 子 shàng ba 。
372,【放心】,fàngxīn,v.,be assured,请～，我会把事情办好的。,qǐng fàng 心 ， wǒ huì bǎ 事 情 办 hǎo de 。
373,【分】,fēn,num.,minute,现在 8 点 30～。,现 zài   8   diǎn   3 0 fēn 。
373,【分】,fēn,n.,mark; grade; score,这次考试，我得了 85～。,这 cì 考 shì ， wǒ de le   8 5 fēn 。
373,【分】,fēn,v.,split; separate,这个苹果被～成了两块儿。,这 gè 苹 果 bèi fēn 成 le liǎng kuài 儿 。
374,【附近】,fùjìn,n.,nearby; neighbour; vicinity; proximity,他家就住在公司～。,tā jiā jiù zhù zài 公 司 附 jìn 。
375,【复习】,fùxí,v.,review,考试前要好好地～。,考 shì 前 yào hǎo hǎo de 复 习 。
376,【干净】,gānjìng,adj.,clean,我把衣服洗～了。,wǒ bǎ 衣 服 xǐ gàn 净 le 。
377,【感冒】,gǎnmào,v.,have/catch a cold,我～了，要吃点儿药。,wǒ 感 冒 le ， yào chī diǎn 儿 yào 。
378,【感兴趣】,gǎnxìngqù,v.,interest; taste,小王对音乐很～。,xiǎo 王 duì 音 乐 hěn 感 兴 趣 。
379,【刚才】,gāngcái,n.,a moment ago; just now,～是谁来的电话？,刚 cái shì shéi lái de 电 话 ？
380,【个子】,gèzi,n.,height,哥哥比我～高。,哥 哥 bǐ wǒ gè 子 gāo 。
381,【根据】,gēnjù,prep.,on the basis of; according to,请～这篇文章谈一谈自己的想法。,qǐng 根 据 这 piān 文 章 谈 yī 谈 自 己 de xiǎng 法 。
381,【根据】,gēnjù,n.,basis; cause; foundation,他这么说，是有～的。,tā 这 么 shuō ， shì yǒu 根 据 de 。
382,【跟】,gēn,v.,follow,散步的时候，小狗一直～在我身后。,散 步 de 时 候 ， xiǎo gǒu yī 直 gēn zài wǒ 身 后 。
382,【跟】,gēn,prep.,with,姐姐～妈妈一起去公园了。,姐 姐 gēn 妈 妈 yī 起 qù 公 园 le 。
383,【更】,gèng,adv.,more,他比我～喜欢游泳。,tā bǐ wǒ gèng 喜 欢 游 泳 。
384,【公斤】,gōngjīn,nm.,kilogram,我买了一～鸡蛋。,wǒ mǎi le yī 公 斤 鸡 蛋 。
385,【公园】,gōngyuán,n.,park,我家附近有个～，我常去那里散步。,wǒ jiā 附 jìn yǒu gè 公 园 ， wǒ 常 qù 那 lǐ 散 步 。
386,【故事】,gùshi,n.,story,睡觉前，我都给女儿讲～。,睡 觉 前 ， wǒ dōu gěi nǚ 儿 jiǎng 故 事 。
387,【刮风】,guāfēng,n.,blow (of wind),今天～了，别骑自行车了。,今 天 刮 风 le ， bié qí 自 行 车 le 。
388,【关】,guān,v.,close; turn off,"他～上了门。
我把电视～了。","tā guān shàng le mén 。 
 wǒ bǎ 电 视 guān le 。"
389,【关系】,guānxì,n.,relation; relationship,这件事和她没有～。,这 jiàn 事 hé tā 没 yǒu guān 系 。
390,【关心】,guānxīn,v.,care for; be concerned for,爸爸很～我的学习。,爸 爸 hěn guān 心 wǒ de 学 习 。
390,【关心】,guānxīn,n.,concern; consideration,谢谢你的～，我的身体好多了。,谢 谢 nǐ de guān 心 ， wǒ de 身 体 hǎo duō le 。
391,【关于】,guānyú,prep.,with regard to,～这个问题，我们还要再想一想。,guān 于 这 gè wèn tí ， wǒ 们 huán yào zài xiǎng yī xiǎng 。
392,【国家】,guójiā,n.,country,我爱旅游，去过几十个～。,wǒ ài 旅 游 ， qù guò jǐ shí gè 国 jiā 。
393,【过】,guò,v.,live; pass,今天我～生日，朋友们都来了。,今 天 wǒ guò 生 rì ， 朋 友 们 dōu lái le 。
393,【过】,guò,v.,spend the time; pass the time,时间～得真快，要过春节了。,时 间 guò de zhēn kuài ， yào guò chūn jié le 。
394,【过去】,guòqù,n.,in the past,奶奶经常给我讲～的事情。,奶 奶 经 常 gěi wǒ jiǎng guò qù de 事 情 。
395,【还是】,háishì,adv.,still; all the same,我～在北京，没去其他地方。,wǒ huán shì zài 北 京 ， 没 qù 其 tā de 方 。
395,【还是】,háishì,adv.,had better,你～吃点儿水果吧，别喝啤酒了。,nǐ huán shì chī diǎn 儿 shuǐ 果 ba ， bié hē 啤 酒 le 。
395,【还是】,háishì,adv.,or,你是开车去～坐公共汽车去？,nǐ shì kāi 车 qù huán shì zuò 公 共 汽 车 qù ？
396,【害怕】,hàipà,v.,be afraid; be frightened,我～一个人晚上出门。,wǒ 害 怕 yī gè rén 晚 shàng chū mén 。
397,【航班】,hángbān,n.,flight; scheduled flight,各位顾客，欢迎您乘坐我们的～。,gè wèi 顾 客 ， 欢 迎 nín 乘 zuò wǒ 们 de 航 bān 。
398,【黑板】,hēibǎn,n.,blackboard,请大家看～。,qǐng dà jiā kàn hēi 板 。
399,【后来】,hòulái,adv.,later; afterwards,～我再也没见过他。,后 lái wǒ zài yě 没 见 guò tā 。
400,【护照】,hùzhào,n.,passport,你的～办好了吗？,nǐ de 护 照 办 hǎo le ma ？
401,【花】,huā,v.,spend,今天我～了不少钱。,今 天 wǒ huā le bù shǎo qián 。
402,【花】,huā,n.,flower,今天是妈妈的生日，我们送一些～给她吧。,今 天 shì 妈 妈 de 生 rì ， wǒ 们 sòng yī xiē huā gěi tā ba 。
403,【画】,huà,v.,draw; paint,我从小就喜欢～画儿。,wǒ cóng xiǎo jiù 喜 欢 huà huà 儿 。
403,【画】,huà,n.,picture; drawing; painting,他的～儿很受大家欢迎。,tā de huà 儿 hěn 受 dà jiā 欢 迎 。
404,【坏】,huài,adj.,bad; evil,面包很新鲜，没有～。,面 bāo hěn xīn 鲜 ， 没 yǒu huài 。
404,【坏】,huài,int.,terrible; badly,～了，我忘记带护照了。,huài le ， wǒ 忘 记 dài 护 照 le 。
405,【还】,huán,v.,return sth to the owner,我把书～给图书馆了。,wǒ bǎ shū huán gěi 图 shū 馆 le 。
406,【环境】,huánjìng,n.,environment; condition; circumstance,这里的～很不错，在这里住很舒服。,这 lǐ de 环 境 hěn bù cuò ， zài 这 lǐ zhù hěn 舒 服 。
407,【换】,huàn,v.,change,你等我一下，我去～件衣服。,nǐ děng wǒ yī xià ， wǒ qù huàn jiàn 衣 服 。
407,【换】,huàn,v.,exchange money,我去银行～点儿钱。,wǒ qù 银 行 huàn diǎn 儿 qián 。
408,【黄河】,Huánghé,n.,the Yellow River,～是中国的第二大河。,黄 河 shì 中 国 de 第 èr dà 河 。
409,【会议】,huìyì,n.,meeting,我们下午有个～。,wǒ 们 xià 午 yǒu gè huì 议 。
410,【或者】,huòzhě,conj.,or,你去，～我去，都可以。,nǐ qù ， 或 者 wǒ qù ， dōu 可 以 。
411,【几乎】,jīhū,adv.,nearly; almost,我感动得～要流泪了。,wǒ 感 动 de jǐ 乎 yào 流 泪 le 。
412,【机会】,jīhuì,n.,chance; opportunity,我希望有～参加比赛。,wǒ 希 望 yǒu 机 huì 参 加 bǐ 赛 。
413,【极】,jí,adv.,extremely; exceedingly,"他对音乐～感兴趣。
今天的节目好看～了。","tā duì 音 乐 jí 感 兴 趣 。 
 今 天 de jié 目 hǎo kàn jí le 。"
414,【记得】,jìde,v.,remember; learn by heart,我不～他住在哪儿了。,wǒ bù 记 de tā zhù zài nǎ 儿 le 。
415,【季节】,jìjié,n.,season,一年有四个～。,yī nián yǒu sì gè 季 jié 。
416,【检查】,jiǎnchá,v.,inspect; check; examine,你去医院～一下身体吧。,nǐ qù 医 院 检 查 yī xià 身 体 ba 。
417,【简单】,jiǎndān,adj.,easy; simple,这些题对他来说很～。,这 xiē tí duì tā lái shuō hěn 简 单 。
418,【见面】,jiànmiàn,v.,meet,上次和他～，已经是去年了。,shàng cì hé tā 见 面 ， 已 经 shì qù nián le 。
419,【健康】,jiànkāng,adj.,healthy,爸爸的身体特别～。,爸 爸 de 身 体 特 bié 健 康 。
420,【讲】,jiǎng,v.,speak; tell,李老师的课～得很有趣。,李 lǎo 师 de kè jiǎng de hěn yǒu 趣 。
421,【降落】,jiàngluò,v.,descend; land,飞机马上就要～了。,飞 机 mǎ shàng jiù yào 降 落 le 。
422,【角】,jiǎo,nm.,tenth of one Yuan (money),桌子上有五～钱。,桌 子 shàng yǒu wǔ jiǎo qián 。
422,【角】,jiǎo,n.,corner,房间的一～放了很多书。,房 间 de yī jiǎo fàng le hěn duō shū 。
423,【脚】,jiǎo,n.,foot,妹妹～上穿着漂亮的红皮鞋。,妹 妹 jiǎo shàng chuān zhe 漂 亮 de hóng 皮 鞋 。
424,【教】,jiāo,v.,teach,李老师～我们数学。,李 lǎo 师 jiāo wǒ 们 数 学 。
425,【接】,jiē,v.,accept; receive,下午我去机场～你。,xià 午 wǒ qù 机 chǎng jiē nǐ 。
425,【接】,jiē,v.,go on,他看了看表，躺下～着睡觉。,tā kàn le kàn 表 ， 躺 xià jiē zhe 睡 觉 。
426,【街道】,jiēdào,n.,street,这条～很长，有四千多米。,这 tiáo 街 道 hěn cháng ， yǒu sì qiān duō mǐ 。
427,【节目】,jiémù,n.,show; performance; program,今天我们一共演出 12 个～。,今 天 wǒ 们 yī 共 演 chū   1 2   gè jié 目 。
428,【节日】,jiérì,n.,holiday; festival,祝大家～快乐！,祝 dà jiā jié rì kuài 乐 ！
429,【结婚】,jiéhūn,v.,get married,我们～10 年了。,wǒ 们 结 婚 1 0   nián le 。
430,【结束】,jiéshù,v.,stop; finish; end; terminate,会议马上就要～了。,huì 议 mǎ shàng jiù yào 结 束 le 。
431,【解决】,jiějué,v.,solve or resolve a problem or an issue,这个问题你打算怎么～？,这 gè wèn tí nǐ 打 算 怎 么 解 决 ？
432,【借】,jiè,v.,borrow; lend,我从图书馆～了三本书。,wǒ cóng 图 shū 馆 jiè le sān běn shū 。
433,【经常】,jīngcháng,adv.,often,我～在学校遇到他。,wǒ 经 常 zài 学 校 遇 dào tā 。
434,【经过】,jīngguò,v.,pass through / by,上下班的时候，我都要～这条街道。,shàng xià bān de 时 候 ， wǒ dōu yào 经 guò 这 tiáo 街 道 。
434,【经过】,jīngguò,prep.,through; under,～你这么一说，我终于明白了。,经 guò nǐ 这 么 yī shuō ， wǒ 终 于 明 bái le 。
435,【经理】,jīnglǐ,n.,manager,他是我们公司的～。,tā shì wǒ 们 公 司 de 经 理 。
436,【久】,jiǔ,adj.,old; for a long time,这个问题我想了很～才明白。,这 gè wèn tí wǒ xiǎng le hěn jiǔ cái 明 bái 。
437,【旧】,jiù,adj.,old; worn,这件衣服穿了两年，已经～了。,这 jiàn 衣 服 chuān le liǎng nián ， 已 经 jiù le 。
438,【句子】,jùzi,n.,sentence,请用这些词语说几个～。,qǐng yòng 这 xiē 词 语 shuō jǐ gè 句 子 。
439,【决定】,juédìng,v.,decide; determine,这件事是经理～的。,这 jiàn 事 shì 经 理 决 定 de 。
439,【决定】,juédìng,n.,decision; determination; resolution,他已经做出了～。,tā 已 经 zuò chū le 决 定 。
440,【可爱】,kě’ài,adj.,cute; lovable; likeable,你的儿子真～。,nǐ de 儿 子 zhēn 可 ài 。
441,【渴】,kě,adj.,thirsty,我～了，想喝点儿水。,wǒ kě le ， xiǎng hē diǎn 儿 shuǐ 。
442,【刻】,kè,n.,quarter of an hour; 15 minutes,现在是三点一～。,现 zài shì sān diǎn yī kè 。
443,【客人】,kèrén,n.,guest,春节的时候，家里会来很多～。,chūn jié de 时 候 ， jiā lǐ huì lái hěn duō 客 rén 。
444,【空调】,kōngtiáo,n.,air conditioner,太热了，请把～打开。,tài rè le ， qǐng bǎ kōng 调 打 kāi 。
445,【口】,kǒu,nm.,used for people and some animals,我们家一共三～人。,wǒ 们 jiā yī 共 sān kǒu rén 。
445,【口】,kǒu,n.,mouth,想学好外语，要多开～说。,xiǎng 学 hǎo wài 语 ， yào duō kāi kǒu shuō 。
446,【哭】,kū,v.,cry; weep,孩子又～了起来。,孩 子 yòu kū le 起 lái 。
447,【裤子】,kùzi,n.,trousers; pants,这条～有点儿短。,这 tiáo 裤 子 yǒu diǎn 儿 duǎn 。
448,【筷子】,kuàizi,n.,chopsticks,我来中国 1 个月了，已经会用～了。,wǒ lái 中 国   1   gè yuè le ， 已 经 huì yòng 筷 子 le 。
449,【蓝】,lán,adj.,blue,这条～裙子你喜欢吗？,这 tiáo lán 裙 子 nǐ 喜 欢 ma ？
450,【老】,lǎo,adj.,aged; old,爷爷六十岁了，但是看起来一点儿也不～。,爷 爷 liù shí suì le ， 但 shì kàn 起 lái yī diǎn 儿 yě bù lǎo 。
451,【离开】,líkāi,v.,"leave; to be away from; part from;
separate from",下个月我要～一段时间，你好好照顾自己。,xià gè yuè wǒ yào lí kāi yī duàn 时 间 ， nǐ hǎo hǎo 照 顾 自 己 。
452,【礼物】,lǐwù,n.,present; gift,过生日的时候，我收到了很多～。,guò 生 rì de 时 候 ， wǒ shōu dào le hěn duō 礼 物 。
453,【历史】,lìshǐ,n.,history,这个房子差不多有 300 年的～了。,这 gè 房 子 chà bù duō yǒu   3 0 0   nián de 历 史 le 。
454,【脸】,liǎn,n.,face,女儿的～圆圆的，很可爱。,nǚ 儿 de liǎn 圆 圆 de ， hěn 可 ài 。
455,【练习】,liànxí,v.,practice,学过的东西，要多～才能记住。,学 guò de dōng xī ， yào duō 练 习 cái néng 记 zhù 。
455,【练习】,liànxí,n.,exercise,同学们，下面我们开始做～。,同 学 们 ， xià 面 wǒ 们 kāi 始 zuò 练 习 。
456,【辆】,liàng,nm.,used for automobiles,这～车，是我新买的。,这 liàng 车 ， shì wǒ xīn mǎi de 。
457,【聊天】,liáotiān,sv.,chat,我们经常在网上～。,wǒ 们 经 常 zài 网 shàng 聊 天 。
458,【了解】,liǎojiě,v.,know; understand; comprehend,我对她～得不多。,wǒ duì tā le 解 de bù duō 。
459,【邻居】,línjū,n.,neighbor,我跟～们的关系非常好。,wǒ gēn 邻 居 们 de guān 系 非 常 hǎo 。
460,【留学】,liúxué,v.,study in a foreign country,我哥哥在中国～。,wǒ 哥 哥 zài 中 国 liú 学 。
461,【楼】,lóu,n.,building,我在你家～下等你。,wǒ zài nǐ jiā lóu xià děng nǐ 。
462,【绿】,lǜ,adj.,green,春天来了，树和草都～了。,chūn 天 lái le ， shù hé cǎo dōu lǜ le 。
463,【马】,mǎ,n.,horse,我们学会骑～了。,wǒ 们 学 huì qí mǎ le 。
464,【马上】,mǎshàng,adv.,immediately; at once,我～就到学校，你再等我几分钟。,wǒ mǎ shàng jiù dào 学 校 ， nǐ zài děng wǒ jǐ fēn 钟 。
465,【满意】,mǎnyì,v.,be satisfied,经理对他很～。,经 理 duì tā hěn mǎn 意 。
466,【帽子】,màozi,n.,hat; cap,这个～太小了，有大一点儿的吗？,这 gè 帽 子 tài xiǎo le ， yǒu dà yī diǎn 儿 de ma ？
467,【米】,mǐ,nm.,meter,这张桌子有两～长。,这 zhāng 桌 子 yǒu liǎng mǐ cháng 。
468,【面包】,miànbāo,n.,bread,～已经卖完了。,面 bāo 已 经 mài wán le 。
469,【面条】,miàntiáo,n.,noodle,服务员，我要一碗～。,服 务 员 ， wǒ yào yī wǎn 面 tiáo 。
470,【明白】,míngbai,v.,know; understand,我～你的意思了。,wǒ 明 bái nǐ de 意 思 le 。
470,【明白】,míngbai,adj.,plain; explicit; clear,他说得很～，我懂了。,tā shuō de hěn 明 bái ， wǒ dǒng le 。
471,【拿】,ná,v.,hold; take,你手里～的是什么？,nǐ 手 lǐ ná de shì 什 么 ？
472,【奶奶】,nǎinai,n.,grandmother,我～住在北京。,wǒ 奶 奶 zhù zài 北 京 。
473,【南】,nán,n.,south,我家在火车站的～边。,wǒ jiā zài huǒ 车 zhàn de nán 边 。
474,【难】,nán,adj.,difficult; hard,这个题很～。,这 gè tí hěn nán 。
475,【难过】,nánguò,v.,have a hard time,他要离开了，我很～。,tā yào lí kāi le ， wǒ hěn nán guò 。
476,【年级】,niánjí,n.,"grade (in the primary or middle school);
year (in college or university)",我儿子现在上三～。,wǒ 儿 子 现 zài shàng sān nián 级 。
477,【年轻】,niánqīng,adj.,young,妈妈 50 岁了，看起来还很～。,妈 妈   5 0   suì le ， kàn 起 lái huán hěn nián qīng 。
478,【鸟】,niǎo,n.,bird,树上有很多～在唱歌。,shù shàng yǒu hěn duō niǎo zài 唱 歌 。
479,【努力】,nǔlì,adj.,hard-working; diligent,学生们学习很～。,学 生 们 学 习 hěn 努 力 。
480,【爬 ft】,páshān,v.,climb mountains,我们决定明天去～。,wǒ 们 决 定 明 天 qù 爬   f t 。
481,【盘子】,pánzi,n.,tray; plate; dish,～里有鱼，请吃吧。,盘 子 lǐ yǒu yú ， qǐng chī ba 。
482,【胖】,pàng,adj,fat,熊猫很～，很可爱。,熊 māo hěn pàng ， hěn 可 ài 。
482,【胖】,pàng,v.,get fat,这个月我～了五斤多。,这 gè yuè wǒ pàng le wǔ 斤 duō 。
483,【皮鞋】,píxié,n.,leather shoes,他穿着一双黑色的～。,tā chuān zhe yī shuāng hēi 色 de 皮 鞋 。
484,【啤酒】,píjiǔ,n.,beer,爸爸爱喝～。,爸 爸 ài hē 啤 酒 。
485,【普通话】,pǔtōnghuà,n.,Mandarin Chinese,你的～说得很好。,nǐ de 普 通 话 shuō de hěn hǎo 。
486,【其实】,qíshí,adv.,actually; in fact; as a matter of fact,我～不太了解他。,wǒ 其 实 bù tài le 解 tā 。
487,【其他】,qítā,pron.,other; else,只有小明在教室里，～人都回家了。,zhǐ yǒu xiǎo 明 zài jiāo 室 lǐ ， 其 tā rén dōu huí jiā le 。
488,【奇怪】,qíguài,adj.,odd; queer; strange; unusual; peculiar,我觉得这个问题很～。,wǒ 觉 de 这 gè wèn tí hěn 奇 怪 。
489,【骑】,qí,v.,"ride (an animal or bicycle); sit on the back
of",今天我～自行车去学校。,今 天 wǒ qí 自 行 车 qù 学 校 。
490,【起飞】,qǐfēi,v.,(of aircraft) take off; lift off; launch,各位乘客，飞机马上就要～了。,gè wèi 乘 客 ， 飞 机 mǎ shàng jiù yào 起 飞 le 。
491,【清楚】,qīngchu,adj.,clear; distinct,他把这件事儿说得很～了。,tā bǎ 这 jiàn 事 儿 shuō de hěn 清 楚 le 。
491,【清楚】,qīngchu,v.,be clear about; understand,你～这句话的意思吗？,nǐ 清 楚 这 句 话 de 意 思 ma ？
492,【秋】,qiū,n.,fall; autumn,～天最舒服，不冷也不热。,qiū 天 zuì 舒 服 ， bù lěng yě bù rè 。
493,【裙子】,qúnzi,n.,skirt,姐姐穿着漂亮的～。,姐 姐 chuān zhe 漂 亮 de 裙 子 。
494,【然后】,ránhòu,conj.,then; after that; afterwards,我要先写完作业，～再看电视。,wǒ yào xiān xiě wán 作 业 ， 然 后 zài kàn 电 视 。
495,【热情】,rèqíng,adj.,fervent; warm,我们～地欢迎客人。,wǒ 们 rè 情 de 欢 迎 客 rén 。
496,【认为】,rènwéi,v.,think; consider,你～他会来吗？,nǐ 认 wèi tā huì lái ma ？
497,【认真】,rènzhēn,adj.,conscientious; earnest; serious,这个同学学习很～，很努力。,这 gè 同 学 学 习 hěn 认 zhēn ， hěn 努 力 。
498,【容易】,róngyì,adj.,easy; ready,这个问题很～回答。,这 gè wèn tí hěn 容 易 huí 答 。
499,【如果】,rúguǒ,conj.,if; in case; in the event of; supposing that,～你去，我就和你一起去。,如 果 nǐ qù ， wǒ jiù hé nǐ yī 起 qù 。
500,【伞】,sǎn,n.,umbrella,下雨了，别忘了带～。,xià yǔ le ， bié 忘 le dài sǎn 。
501,【上网】,shàngwǎng,v.,get online,我～去看看新闻。,wǒ shàng 网 qù kàn kàn xīn 闻 。
502,【生气】,shēngqì,v.,take offence; be/get angry; be offended,请别～，是我错了，对不起。,qǐng bié 生 气 ， shì wǒ cuò le ， duì bù 起 。
503,【声音】,shēngyīn,n.,sound; voice,你听，这是什么～？,nǐ tīng ， 这 shì 什 么 声 音 ？
504,【世界】,shìjiè,n.,"the world; the earth; the globe; the
universe",～上有很多国家。,世 界 shàng yǒu hěn duō 国 jiā 。
505,【试】,shì,v.,try,我想～一下那件红色的。,wǒ xiǎng shì yī xià 那 jiàn hóng 色 de 。
506,【瘦】,shòu,adj.,thin; emaciated; lean,姐姐现在很～，只有 45 公斤。,姐 姐 现 zài hěn shòu ， zhǐ yǒu   4 5   公 斤 。
506,【瘦】,shòu,v.,become thin,这个月我～了三斤。,这 gè yuè wǒ shòu le sān 斤 。
507,【叔叔】,shūshu,n.,"uncle (referring to a man younger than
one’s father)",～，你喜欢这本书吗？,叔 叔 ， nǐ 喜 欢 这 běn shū ma ？
508,【舒服】,shūfu,adj.,pleased; comfortable,坐在这里，真～。,zuò zài 这 lǐ ， zhēn 舒 服 。
509,【树】,shù,n.,tree,我们学校里有很多～。,wǒ 们 学 校 lǐ yǒu hěn duō shù 。
510,【数学】,shùxué,n.,mathematics,我的～成绩很好。,wǒ de 数 学 成 绩 hěn hǎo 。
511,【刷牙】,shuāyá,v.,clean one's teeth; brush one's teeth,睡觉前要～。,睡 觉 前 yào 刷 牙 。
512,【双】,shuāng,nm.,pair; couple,我今天想去买～鞋。,wǒ 今 天 xiǎng qù mǎi shuāng 鞋 。
513,【水平】,shuǐpíng,n.,"standard; level (of skill, ability and
knowledge, etc.)",他的汉语～很高。,tā de 汉 语 shuǐ 平 hěn gāo 。
514,【司机】,sījī,n.,driver,这位～开出租车 5 年多了。,这 wèi 司 机 kāi chū 租 车   5   nián duō le 。
515,【太阳】,tàiyáng,n.,the Sun,你看，～出来了。,nǐ kàn ， tài 阳 chū lái le 。
516,【特别】,tèbié,adv.,very; exceptionally; particularly; specially,我～想跟你一起去。,wǒ 特 bié xiǎng gēn nǐ yī 起 qù 。
516,【特别】,tèbié,adj,"special; unusual; particular; out of the
ordinary",这个菜的做法很～。,这 gè cài de zuò 法 hěn 特 bié 。
517,【疼】,téng,adj.,ache; hurt,我的腿有点儿～。,wǒ de tuǐ yǒu diǎn 儿 téng 。
518,【提高】,tígāo,v.,"lift; raise; heighten; enhance; increase;
improve; advance",你数学成绩～了不少。,nǐ 数 学 成 绩 提 gāo le bù shǎo 。
518,【提高】,tígāo,n.,development; increase,人们的生活水平有了很大的～。,rén 们 de 生 活 shuǐ 平 yǒu le hěn dà de 提 gāo 。
519,【体育】,tǐyù,n.,sports; sports activities,我很喜欢～运动。,wǒ hěn 喜 欢 体 育 运 动 。
520,【甜】,tián,adj.,sweet,这个西瓜真～啊！,这 gè xī 瓜 zhēn tián a ！
521,【条】,tiáo,nm.,used for long and slender things,这～裤子有点儿长。,这 tiáo 裤 子 yǒu diǎn 儿 cháng 。
522,【同事】,tóngshì,n.,colleague,这是我们的新～，李华。,这 shì wǒ 们 de xīn 同 事 ， 李 华 。
523,【同意】,tóngyì,v.,"agree; approve; assent to; consent to;
accede to",我不太～他的想法。,wǒ bù tài 同 意 tā de xiǎng 法 。
524,【头发】,tóufa,n.,hair,妈妈的～又黑又亮。,妈 妈 de 头 fā yòu hēi yòu 亮 。
525,【突然】,tūrán,adj.,sudden; abrupt; unexpected,他～站了起来。,tā 突 然 zhàn le 起 lái 。
525,【突然】,tūrán,adv.,suddenly; abruptly; unexpectedly,小狗～跑了出来。,xiǎo gǒu 突 然 跑 le chū lái 。
526,【图书馆】,túshūguǎn,n.,library,我从～借来了两本书。,wǒ cóng 图 shū 馆 jiè lái le liǎng běn shū 。
527,【腿】,tuǐ,n.,leg,你的～还疼吗？,nǐ de tuǐ huán téng ma ？
528,【完成】,wánchéng,v.,"accomplish; complete; finish; achieve;
fulfill",这件事，在周末前必须～。,这 jiàn 事 ， zài 周 末 前 必 须 wán 成 。
529,【碗】,wǎn,n.,bowl,把米饭放在这个～里吧。,bǎ mǐ 饭 fàng zài 这 gè wǎn lǐ ba 。
529,【碗】,wǎn,nm.,a bowl of,我吃一～就可以了。,wǒ chī yī wǎn jiù 可 以 le 。
530,【万】,wàn,num.,ten thousand,我们学校有一～名学生。,wǒ 们 学 校 yǒu yī wàn 名 学 生 。
531,【忘记】,wàngjì,v.,"forget; erase; drop (or fade, slip) from
memory; go out of one's mind",我～今天是他的生日了。,wǒ 忘 记 今 天 shì tā de 生 rì le 。
532,【为】,wèi,prep.,for,这些菜都是～你准备的。,这 xiē cài dōu shì wèi nǐ 准 备 de 。
533,【为了】,wèile,prep.,for,～身体健康，我每天都去运动。,wèi le 身 体 健 康 ， wǒ měi 天 dōu qù 运 动 。
534,【位】,wèi,nm.,used for people,他真是一～好老师。,tā zhēn shì yī wèi hǎo lǎo 师 。
535,【文化】,wénhuà,n.,culture; civilization,我对中国～很感兴趣。,wǒ duì 中 国 文 化 hěn 感 兴 趣 。
536,【西】,xī,n.,west,火车站在～边，你走错了。,huǒ 车 zhàn zài xī 边 ， nǐ zǒu cuò le 。
537,【习惯】,xíguàn,v.,be accustomed to; be/get used to,他已经～了一个人生活。,tā 已 经 习 惯 le yī gè rén 生 活 。
537,【习惯】,xíguàn,n.,habit; custom; usual practice,饭前洗手是好～。,饭 前 xǐ 手 shì hǎo 习 惯 。
538,【洗手间】,xǐshǒujiān,n.,toilet; washroom; bathroom,我去一下～。,wǒ qù yī xià xǐ 手 间 。
539,【洗澡】,xǐzǎo,v.,take a bath; bathe; take a shower,太热了，我先去～。,tài rè le ， wǒ xiān qù xǐ 澡 。
540,【夏】,xià,n.,summer,今年～天太热了。,今 nián xià 天 tài rè le 。
541,【先】,xiān,adv.,first,你～去，我一个小时后再去。,nǐ xiān qù ， wǒ yī gè xiǎo 时 后 zài qù 。
542,【相信】,xiāngxìn,v.,"believe in; be convinced of; have faith in;
place reliance on; put one's trust in",我完全～你说的话。,wǒ wán 全 相 信 nǐ shuō de 话 。
543,【香蕉】,xiāngjiāo,n.,banana,你想吃～吗？,nǐ xiǎng chī 香 蕉 ma ？
544,【向】,xiàng,prep.,to; towards,～东走，就可以看到那个学校了。,xiàng dōng zǒu ， jiù 可 以 kàn dào 那 gè 学 校 le 。
545,【像】,xiàng,v.,look alike,他长得～他爸爸。,tā cháng de xiàng tā 爸 爸 。
545,【像】,xiàng,prep.,for example,～校长这样的人，到哪里都很受欢迎。,xiàng 校 cháng 这 样 de rén ， dào nǎ lǐ dōu hěn 受 欢 迎 。
546,【小心】,xiǎoxīn,v.,take care; look out,请～，路上有很多水。,qǐng xiǎo 心 ， lù shàng yǒu hěn duō shuǐ 。
546,【小心】,xiǎoxīn,adj.,careful,我很～地抱起了小猫。,wǒ hěn xiǎo 心 de bào 起 le xiǎo māo 。
547,【校长】,xiàozhǎng,n.,"(of a secondary or elementary school)
principal; headmaster; (of a university or college) president; chancellor",～已经同意了我们的计划。,校 cháng 已 经 同 意 le wǒ 们 de 计 划 。
548,【新闻】,xīnwén,n.,news,我每天晚上七点都看～。,wǒ měi 天 晚 shàng qī diǎn dōu kàn xīn 闻 。
549,【新鲜】,xīnxiān,adj.,fresh,这些都是～水果。,这 xiē dōu shì xīn 鲜 shuǐ 果 。
